id_country,Year,Score
79,2012,0.277
79,2013,0.172
79,2014,0.07
79,2015,1.187
79,2016,0.23
79,2017,0.835
79,2018,0.363
79,2019,0.181
79,2020,0.551
80,2010,0
80,2011,0
80,2012,0
80,2013,0.153
80,2014,0.08
80,2015,1.219
80,2016,0.25
80,2017,0.125
80,2018,0.057
80,2019,0.029
80,2020,0
81,2010,7.771
81,2011,7.796
81,2012,8.147
81,2013,7.475
81,2014,7.86
81,2015,7.747
81,2016,7.484
81,2017,7.534
81,2018,7.568
81,2019,7.518
81,2020,7.353
82,2010,4.055
82,2011,3.35
82,2012,4.505
82,2013,4.453
82,2014,4.67
82,2015,4.755
82,2016,4.429
82,2017,4.55
82,2018,4.543
82,2019,5.07
82,2020,4.629
84,2010,5.301
84,2011,5.777
84,2012,5.633
84,2013,4.689
84,2014,4.9
84,2015,4.222
84,2016,3.949
84,2017,3.714
84,2018,4.399
84,2019,4.717
84,2020,4.157
85,2010,9.221
85,2011,9.113
85,2012,9.556
85,2013,9.011
85,2014,10
85,2015,10
85,2016,9.96
85,2017,10
85,2018,9.746
85,2019,9.241
85,2020,8.682
86,2010,0.719
86,2011,1.149
86,2012,1.456
86,2013,2.769
86,2014,3.09
86,2015,3.663
86,2016,3.429
86,2017,3.141
86,2018,3.045
86,2019,2.692
86,2020,2.845
87,2010,5.006
87,2011,4.51
87,2012,5.155
87,2013,4.851
87,2014,4.66
87,2015,6.034
87,2016,5.248
87,2017,5.062
87,2018,4.578
87,2019,4.525
87,2020,4.522
88,2010,1.579
88,2011,2.306
88,2012,2.066
88,2013,2.655
88,2014,2.55
88,2015,3.364
88,2016,2.363
88,2017,2.75
88,2018,2.736
88,2019,3.109
88,2020,3.043
89,2010,1.989
89,2011,3.065
89,2012,3.99
89,2013,3.926
89,2014,3.76
89,2015,3.141
89,2016,2.177
89,2017,3.701
89,2018,3.276
89,2019,2.598
89,2020,1.945
90,2010,0
90,2011,0
90,2012,0
90,2013,0
90,2014,0
90,2015,0.229
90,2016,0.115
90,2017,0.058
