id_attacker_group,attacker_group
280,Animal Liberation Front (ALF)
281,Animal Rights extremists
282,Animal Rights Militia
283,Anonima Sequestri
284,Anonymous Underground Movement (MCA)
285,Ansar Al Sunnah (Palestine)
286,Ansar al-Din
287,Ansar al-Din Front
288,Ansar al-Dine (Mali)
289,Ansar al-Furqan
290,Ansar al-Imam Musa al-Sadr
291,Ansar al-Islam
292,Ansar al-Islam (Burkina Faso)
293,Ansar al-Islam (Egypt)
294,Ansar al-Jihad
295,Ansar Al-Khilafa (Philippines)
296,Ansar al-Sharia (Libya)
297,Ansar al-Sharia (Pakistan)
298,Ansar al-Sharia (Tunisia)
299,Ansar al-Sharia Operations Room (Syria)
300,Ansar al-Sunna
301,Ansar al-Sunna (Mozambique)
302,Ansar al-Tahwid wal Sunna
303,Ansar al-Tawhid
304,Ansar Allah
305,Ansar Bayt al-Maqdis (Ansar Jerusalem)
306,Ansar Ghazwat-ul-Hind
307,Ansar Sarallah
308,Ansar Wa Mohajir (Pakistan)
309,Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan)
310,Ansaru ash-Sharia (Russia)
311,Ansarul Islam (Pakistan)
312,Ansarullah Bangla Team
313,Antagonistic Nuclei of the New Urban Guerrilla
314,Anti - Election Demonstrators
315,Anti Kurdish Workers Party Iraq nationals
316,Anti Shah of Iran
317,"Anti Somoza Gp, name unk"
318,Anti-Abortion extremists
319,Anti-AF
320,Anti-American Arab Liberation Front
321,Anti-Apartheid guerrillas
322,Anti-Apostate Movement Alliance (AGAP)
323,Anti-Arab extremists
324,Anti-Armenian Organization
325,Anti-Authority Group (Greece)
326,Anti-Balaka Militia
327,Anti-Bhutto demonstrators
328,Anti-CAB activists
329,Anti-Capitalist Action
330,Anti-Capitalist Brigades
331,Anti-Capitalist Commando
332,Anti-Castro Command
333,Anti-Castro Group
334,Anti-Chon radical elements
335,Anti-Christian extremists
336,Anti-Clerical Pro-Sex Toys Group
337,Anti-Communist Action Alliance
338,Anti-Communist Command (KAK)
339,Anti-Communist Commando of the South
340,Anti-Communist extremists
341,Anti-Communist Patriotic Front
342,Anti-Communist Viets Organization
343,Anti-Communist Vigilante Group
344,Anti-Communist Vigilante Patrol
345,Anti-Democratic Struggle
346,Anti-Environmentalists
347,Anti-Establishment Nucleus
348,Anti-Fascist Action
349,Anti-Fascist Activists
350,Anti-Fascist Spring Bremen
351,Anti-Fascist Territorial Group
352,Anti-feminist extremists
353,Anti-Gentrification Front
354,Anti-Government Demonstrators
355,Anti-Government extremists
356,Anti-Government Group
357,Anti-Government Guerrillas
358,Anti-government rioters
359,Anti-govt student groups
360,Anti-Gun Control extremists
361,Anti-Immigrant extremists
362,Anti-Imperialist Cell (AIZ)
363,Anti-Imperialist Commando
364,Anti-Imperialist Fighters for a Free Palestine
365,Anti-Imperialist International Brigades
366,Anti-Imperialist Patriotic Union
367,Anti-Imperialist Students Council
368,Anti-Imperialist Territorial Nuclei (NTA)
369,Anti-Imperialistic Communist Revolutionaries
370,Anti-Independence extremists
371,Anti-Iran Government Exiles
372,Anti-Israeli extremists
373,Anti-Kim Jong-il extremists
374,Anti-Kurdish Turks
375,Anti-LGBT extremists
376,Anti-Liberal extremists
377,Anti-Marxist Commando
378,Anti-Monarchists
379,Anti-Muslim extremists
380,Anti-Narita Extremists
381,Anti-Nuclear extremists
382,Anti-Nuclear Society for a Silent Counter-Offensive (ANGST)
383,Anti-Park extremists
384,Anti-Police extremists
385,Anti-Racist Guerrilla Nuclei
386,Anti-Republican extremists
387,Anti-Revolutionary Agents
388,Anti-Roma extremists
389,Anti-Semitic extremists
390,Anti-Sikh extremists
391,Anti-Socials
392,Anti-Soviet protest group
393,Anti-State Action
394,Anti-State Justice
395,Anti-State Proletarian Nuclei
396,Anti-Technology extremists
397,Anti-Terrorism ETA (ATE)
398,Anti-Terrorist Liberation Group (GAL)
399,Anti-Trump extremists
400,Anti-United States extremists
401,Anti-White extremists
402,Anti-Yanukovych extremists
403,Anti-Zionist Commandos
404,Anti-Zionist Movement
405,Antonia Martinez Student Commandos (AMSC)
406,Antonio
407,Anya-Nya II Militia
408,Apella
409,April 6th Liberation Movement
410,Aqmur
411,Arab Commando Cells
412,Arab Communist Organization
413,Arab Democratic Party
414,Arab Liberation Army
415,Arab Liberation Front (ALF)
416,Arab Liberation of Al-Ahvaz
417,Arab Movement of Azawad (MAA)
418,Arab People's Group
419,Arab Revenge Organization
420,Arab Revolution/Liberation Vanguard Organization
421,Arab Revolutionary Army
422,Arab Revolutionary Cells
423,Arab Revolutionary Front
424,Arab Separatists
425,Arab Socialist Baath Party
426,Arab Socialist Baath Party of Iraq
427,Arab Socialist Union Members
428,Arab Steadfastness Front
429,Arab Struggle
430,Arab Unionist Nationalist Organization
431,Arab Youth Group (Militant)
432,Arab-Israeli extremists
433,Arabian Peninsula Freemen
434,Arabs
435,Arakan Army (AA)
436,Arakan Liberation Party (ALP)
437,Arakan Rohingy Islamic Front
438,Arakan Rohingya Salvation Army (ARSA)
439,Arauco Malleco Coordinating Group (CAM) - Chile
440,Arbav Martyrs of Khuzestan
441,Argentina Libre (Free Argentina)
442,Argentine Anticommunist Alliance (AAA)
443,Argentine Liberation Front (FAL)
444,Argentine National Organization Movement (MANO)
445,Argentine Youths for Sovereignty
446,Ariska Brodraskapet (Aryan Brotherhood)
447,Aristide supporters
448,Arm na Poblachta' (Army of the Republic)
449,Armata Corsa
450,Armata di Liberazione Naziunale (ALN)
451,Armed Action Force (FADA)
452,Armed Anti-Imperialist Movement
453,Armed Brigades
454,Armed Commandos for Liberation
455,Armed Commandos in the Fighting Army of Mario Zichieri
456,Armed Commandos of Liberation
457,Armed Commandos of Student Self Defense
458,Armed Communist Commando
459,Armed Communist Formations
460,Armed Communist Front
461,Armed Communist Nucleus
462,Armed Communist Struggle
463,Armed Falange
464,Armed Fight for Communism
465,Armed Fight for Workers Power
466,Armed Fighting Nucleus For Communism
467,Armed Forces for a Federal Republic (FARF)
468,Armed Forces for Liberation of East Timor (FALINTIL)
469,Armed Forces for National Salvation - Army of the People (FASN-EP)
470,Armed Forces of National Liberation- Venezuela (FALN)
471,Armed Forces of National Resistance (FARN)
472,Armed Forces of Popular Resistance (FARP)
473,Armed Forces of the Chechen Republic of Ichkeria
474,Armed Forces Revolutionary Council (AFRC)
475,Armed Gold Miners
476,Armed Group for the Defence of the People
477,Armed Group for the Liberation of Guadeloupe (GLAG)
478,Armed Groups for Communism
479,Armed Groups of Organised Proletariat
480,Armed Islamic Group (GIA)
481,Armed Islamic Movement
482,Armed Nuclei for Communism
483,Armed Nuclei for Territorial Counterpower
484,Armed Nucleus for Popular Autonomy
485,Armed Nucleus of Communist Workers
486,Armed People
487,Armed People's Units
488,Armed Proletarian Formations
489,Armed Proletarian Group
490,Armed Proletarian Groups for Communism
491,Armed Proletarian Nuclei (NAP)
492,Armed Proletarian Patrols
493,Armed Proletarian Power
494,Armed Proletarian Squads
495,Armed Proletariat Fighting Squad
496,Armed Radical Groups for Communism
497,Armed Revolutionary Action (ENEDRA)
498,Armed Revolutionary Forces
499,Armed Revolutionary Groups
500,Armed Revolutionary Independence Movement (MIRA)
501,Armed Revolutionary Left (IRA)
502,Armed Revolutionary Nuclei (NAR)
503,Armed Squads for Communism
504,Armed Struggle Cells
505,Armed Struggle for Communism
506,Armed Struggle for Proletarian Power
507,Armed Struggle Organization
508,Armed Subversives
509,Armed Vanguards of a Second Mohammed Army
510,Armed Womens Nuclei
511,Armed Workers Nuclei
512,Armed Workers Squads
513,Armenian extremists
514,Armenian Group
515,Armenian Guerrillas
516,Armenian militants
517,Armenian nationalists
518,Armenian Organization for Armed Struggle
519,Armenian paramilitary group
520,Armenian Red Army
521,Armenian Revolutionary Army
522,Armenian Secret Army for the Liberation of Armenia
523,Armenians
524,Army for Freeing Scotland
525,Army of God
526,Army of Islam
527,Army of State Liberators
528,Army of the Republic of Ilirida
529,Army of the Tribes
530,Arnoldo Camu Command
531,Arsonists
532,Arsonists for Social Cohesion
533,Artigas Guard Commando
534,Artigas-Giachino Command
535,Arunachal Pradesh Deprived People's Front (APDPF)
536,Arya
537,Aryan Brotherhood
538,Aryan Nation
539,Aryan Republican Army
540,Asa'ib Ahl al-Haqq
541,Asbat al-Ansar
542,Ashuar Tribe
543,Association for the Enhancement of the Justice of the Great Japan
544,Association of Demobilized Armed Forces
545,Association of Mobil Spill Affected Communities (AMSAC)
546,Association of Students and Pupils in Mali (AEEM)
547,Association Totalement Anti-Guerre (ATAG)
548,Asylum Seekers
549,ATALA
550,Athens and Thessaloniki Arsonist Nuclei
551,Attaches
552,Attack Teams for the Dissolution of the Nation (Greece)
553,Aum Shinri Kyo
554,Authenticity and Development Front
555,Autonomen
556,Autonomous Anarchist Groups
557,Autonomous Anti-Capitalist Commandos (CAA)
558,Autonomous Decorators
559,Autonomous Group for Armed Action
560,Autonomous Groups
561,Autonomous Intervention Collective Against the Zionist Presence in France
562,Autonomous Manuel Rodriguez Patriotic Front
563,Autonomous Resistance
564,Autonomous Revolutionary Brigade
565,Autonomous Students
566,Autonomy (Greece)
567,Autonomy (Italy)
568,Autonomy Front
569,Autonomy-Seeking Arabs
570,Avenge the Arab Nation
571,Avengers of Peiper Group
572,Avengers of the Infants
573,Awami League
574,Awdal Regional Administration Army (ARAA)
575,Awliya al-Dam
576,Ayesha bint al-Sadiq Brigade
577,Azadejan (Liberation)
578,Azania People's Organization (AZAPO)
579,Azawad National Liberation Movement (MNLA)
580,Azerbaijan Guerrillas
581,Azerbaijan Weapons Smugglers
582,Ba'adi (on my own behalf)
